Typhoon,Province,Project Name,Location,Latitude,Longitude,Buffer,Classification,Full Project Title
Yolanda,Cebu,Maya Park,"Brgy. Maya, Daanbantayan, Cebu",11.2710090,124.0489670,230,Identified,Maya Park Homes
Yolanda,Cebu,Lanao Unity Park,"Brgy. Lanao, Daanbantayan, Cebu",11.2484690,124.0222240,280,Identified,Lanao Unity Park Homes
Yolanda,Cebu,Daanbantayan 3,"Brgy. Tominjao, Daanbantayan, Cebu",11.2214640,124.0367880,260,Probable,Green Heights 1 (Daanbantayan 3)
Yolanda,Cebu,Daanbantayan 4,"Brgy. Tominjao, Daanbantayan, Cebu",11.1730750,124.0153800,160,Identified,Green Heights 2 (Daanbantayan 4)
Yolanda,Cebu,Daanbantayan Site 1,"Brgy. Tapilon, Daanbantayan Site 1, Cebu",11.2601640,124.0366110,160,Identified,Kandaya Homes 1 (Daanbantayan Site 1)
Yolanda,Cebu,Daanbantayan Site 2,"Brgy. Paypay, Daanbantayan Site 2, Cebu",11.2098650,123.9731460,210,Identified,Kandaya Homes 2 (Daanbantayan Site 2)
Yolanda,Cebu,Olivo Heights,"Brgy. Olivo, Tabuelan, Cebu",10.8606740,123.8814840,130,Identified,Olivo Heights
Yolanda,Cebu,Northview Park,"Brgy. Antipulo, Medellin, Cebu",11.1565070,123.9477500,230,Identified,Northview Park Homes
Yolanda,Cebu,Northview Park 2,"Brgy. Panugnawan, Medellin, Cebu",11.1662190,123.9945890,190,Identified,Northview Park Homes 2
Yolanda,Cebu,Lawis Residences ,"Brgy. Lawis, San Remegio, Cebu",11.0509220,123.9491080,240,Probable,Lawis Residences (St. John the Baptist Residences 
Yolanda,Cebu,San Remigio Heights,"Brgy. Tambongon, San Remegio, Cebu",11.0181510,123.9218870,180,Identified,San Remigio Heights (Tambongon Townhomes)
Yolanda,Cebu,Bogo Housing Project,"Brgy. Banban (Cayang Site 1 and 2), Bogo, Cebu",11.0193090,123.9505600,200,Probable,St. Vincent Ferrer Homes 1 and 2 (Bogo Housing Project Site 1 and 2) 
Yolanda,Cebu,Seawood Residences,"Brgy. Camoboan, Tabogon, Cebu",10.9564390,124.0286980,120,Identified,Seawood Residences (Tabogon) 
Yolanda,Cebu,Borbon Housing Project,"Brgy. Tagnucan, Tabogon, Cebu",10.8796990,124.0417930,220,Probable,Borbon Housing Project (Borbon)
Yolanda,Cebu,Sogod Housing Project,"Brgy. Takay, Sogod, Cebu",10.8065010,123.9555960,140,Probable,Sogod Housing Project (Sogod)
Yolanda,Cebu,Lantawan Homes ,"Brgy. Antipolo, Tuburan, Cebu ",10.6697200,123.7790880,100,Identified,Lantawan Homes (Tuburan Ville) 
Yolanda,Cebu,Sto. Niño Homes,"Brgy. Maricaban, Santa Fe, Cebu",11.1527580,123.7826270,190,Identified,Sto. Niño Homes (Santa Fe Sunsetville)
Yolanda,Cebu,Balai Bantayan 1,"Brgy. Kabac, Site 1, Bantayan, Cebu",11.2342800,123.7077120,290,Identified,Balai Bantayan 1
Yolanda,Cebu,Kabyayan ni Orongel,"Brgy. Kampinganon, Bantayan, Cebu",11.2476670,123.7249920,140,Probable,Kabyayan ni Orongel (formerly Villa Mercedes 1)
Yolanda,Cebu,Kabyayan ni Datu Leon,"Brgy. Sillon, Bantayan, Cebu",11.1995270,123.7698150,250,Identified,Kabyayan ni Datu Leon (formerly Villa Mercedes 3)
Yolanda,Cebu,Poro,Cebu,10.6857720,124.4110230,80,Probable,Poro
Yolanda,Cebu,Tudela Permanent Housing Project,"Tudela, Cebu",10.6416810,124.4813010,100,Probable,Tudela Permanent Housing Project
Yolanda,Cebu,St. Francis Park Homes 2,"Brgy. Kodia, Madridejos, Cebu",11.2487510,123.7178180,220,Identified,St. Francis Park Homes 2 (Madridejos Site 2)
Yolanda,Leyte,Kawayan Ville,"Brgy, Kawayan, Tacloban City",11.3232260,124.9545210,230,Identified,Kawayan Ville I and II
Yolanda,Leyte,Villa Diana,"Brgy. New Kawayan, Tacloban City, Leyte",11.3312560,124.9530630,120,Identified,Villa Diana
Yolanda,Leyte,Ridge View Park,"Brgy. Cabalawan, Tacloban City, Leyte",11.3010190,124.9528800,270,Identified,Ridge View Park 1
Yolanda,Leyte,New Hope Village,"Brgy. New Kawayan & Brgy. Sta. Elena, Tacloban City, Leyte",11.3413320,124.9440840,220,Identified,New Hope Village
Yolanda,Leyte,Knightsridge Residences,"Brgy. Camansihay, Tacloban City, Leyte",11.3043630,124.9409410,240,Probable,Knightsridge Residences
Yolanda,Leyte,Villa Sofia,"Brgy. Tagpuro, Tacloban City, Leyte",11.3439730,124.9661350,200,Identified,Villa Sofia
Yolanda,Leyte,North Hill Arbours,"Brgy. Sto. Niño (Suhi), Tacloban City",11.3235190,124.9473650,330,Identified,North Hill Arbours
Yolanda,Leyte,Salvacion Heights,"Brgy. Salvacion (Tigbao), Tacloban City, Leyte",11.2269670,124.9526860,180,Identified,Salvacion Heights
Yolanda,Leyte,Guadalupe Heights,"Brgy. San Isidro (Suhi), Tacloban City, Leyte",11.3180760,124.9444580,500,Identified,"Guadalupe Heights 1, 2 and 3 with Greendale Residences"
Yolanda,Leyte,St. Francis Village,"Brgy. Suhi, Tacloban City",11.3194480,124.9569160,230,Probable,St. Francis Village
Yolanda,Leyte,Pope Francis Village,"Brgy. 99, Diit, Tacloban City",11.2604680,124.9613350,240,Identified,Pope Francis Village
Yolanda,Leyte,Kapuso Village Project Palo,"Brgy. San Jose, Palo, Leyte",11.1735720,124.9807250,100,Identified,Kapuso Village Project Palo
Yolanda,Leyte,Ver Dominic Heights,"Brgy. San Jose, Palo Site 1, Leyte",11.1758700,124.9842720,190,Probable,Ver Dominic Heights
Yolanda,Leyte,Prime Town Phase 1,"Brgy. Pago, Tanauan, Leyte",11.1019750,125.0013340,120,Identified,Prime Town Phase 1
Yolanda,Leyte,Prime Town Phase 3,"Brgy. Sacme, Tanauan, Leyte",11.0708210,125.0188360,210,Identified,Prime Town Phase 3
Yolanda,Leyte,Channel Ridge View,"Brgy. Poblacion, Babatngon, Leyte",11.4191220,124.8404780,350,Identified,Channel Ridge View
Yolanda,Leyte,Pastrana Ville,"Brgy. Aringit, Pastrana, Leyte",11.1170050,124.8820180,300,Identified,Pastrana Ville
Yolanda,Leyte,Carigara Housing Project,"Brgy. Parag-um, Carigara, Leyte",11.2646290,124.7261010,200,Probable,Carigara Housing Project
Yolanda,Leyte,Carigara Housing Project 1,"Brgy. Sagkahan, Carigara, Leyte",11.2811280,124.7282010,170,Identified,Carigara Housing Project 1
Yolanda,Leyte,Ecoville,"Brgy. Sagkahan, Carigara, Leyte",11.2800590,124.7219120,300,Identified,Ecoville 1&2 
Yolanda,Leyte,Vergabriel's Heights Subdivision,"Brgy. Parag-um, Carigara, Leyte",11.2645810,124.7260340,200,Identified,Vergabriel's Heights Subdivision
Yolanda,Leyte,Mayorga Towne Homes,"Brgy. A. Bonifacio, Mayorga, Leyte",10.9002030,124.9753670,120,Probable,Mayorga Towne Homes
Yolanda,Leyte,Paglaum Ville,"Brgy. San Isidro, McArthur, Leyte",10.8290670,124.9928990,90,Probable,Paglaum Ville
Yolanda,Leyte,Mont Eagle Ville IV,"Brgy. Cangmoya Site 1, Palompon, Leyte",10.9882310,124.4299690,280,Identified,Mont Eagle Ville IV Subdivision Site 1
Yolanda,Leyte,Tolosa Haiyan Village,"Brgy. Tanghas, Tolosa, Leyte",11.0529540,125.0310860,200,Probable,Tolosa Haiyan Village & St. Michael Residences
Yolanda,Leyte,Matlang Heights,"Matlang, Isabel, Leyte",10.8945800,124.4561390,250,Identified,Matlang Heights 1-2
Yolanda,Leyte,Coconut Grove Subdivision,"Brgy. Dita, Julita, Leyte",10.9724290,124.9484480,130,Probable,Coconut Grove Subdivision
Yolanda,Leyte,Bagong Pag-Asa Subdivision,"Brgy. Margen Site 1 (and 2), Ormoc City, Leyte",11.0210360,124.5308450,300,Probable,Bagong Pag-Asa Subdivision Phase 1 and 2 
Yolanda,Leyte,Villa Soledad,"Brgy. Punta and Jaena, Baybay City, Leyte",10.6356200,124.7826690,200,Identified,Villa Soledad
Yolanda,Leyte,Virlyn Heights Subdivision,"Brgy. Sambel, Barauen, Leyte",10.9470980,124.9072740,120,Probable,Virlyn Heights Subdivision
Yolanda,Leyte,Tabango Ville,"Brgy. Manlawaan, Tabango, Leyte",11.3330940,124.4231000,100,Probable,Tabango Ville
Yolanda,Leyte,Dulag Town Ville,"Brgy. San Antonio, Dulag, Leyte",10.9505640,125.0276210,110,Probable,Dulag Town Ville
Yolanda,Leyte,Barugo Town Ville ,"Brgy. Busay, Barugo, Leyte",11.3249790,124.7708850,190,Probable,Barugo Town Ville Phase 1 & 2 
Yolanda,Leyte,Villa Verde,"Brgy. Iligay, Villaba, Leyte",11.2538270,124.4475240,180,Probable,Villa Verde
Yolanda,Leyte,Capoocan Village,"Brgy. Balucanad, Capoocan, Leyte",11.2816770,124.6460160,200,Identified,Capoocan Village
Yolanda,Leyte,Dagami Town Ville,"Brgy. Sawahon, Dagami, Leyte",11.0708340,124.8763920,120,Identified,Dagami Town Ville
Yolanda,Leyte,Sta. Fe Village Site 1,"Brgy. Bulod, Sta. Fe, Leyte",11.1731390,124.9245210,130,Probable,Sta. Fe Village Site 1
Yolanda,Leyte,Cool Spring Residences,"Brgy. Arado, Burauen, Leyte",10.9793560,124.9208600,120,Probable,Cool Spring Residences (Burauen Housing Project)
Yolanda,Samar,St. Genevieve Village,"Brgy. Tagpuro, Guiuan, Eastern Samar",11.0337770,125.7457320,150,,St. Genevieve Village
Yolanda,Samar,St. Genevieve Site 1 & 2,"Brgy. Sapao, Guiuan, Eastern Samar",11.0417420,125.7447550,190,,St. Genevieve Site 1 & 2
Yolanda,Samar,Eastwind Residences,"Brgy. Cogon, Guiuan, Eastern Samar",11.0460770,125.7268720,130,,Eastwind Residences
Yolanda,Samar,Samar Forestdale I,"Brgy. Cantubi, Balangkayan, Eastern Samar",11.4303280,125.4813500,140,,Samar Forestdale I (formerly Balangkayan Town Ville)
Yolanda,Samar,Balangiga Town Ville,"Brgy. Can-sumangkay, Balangiga, Eastern Samar",11.1074600,125.4205260,120,,Balangiga Town Ville
Yolanda,Samar,Hernani Town Ville,"Brgy. Nagaja, Hernani, Eastern Samar",11.3476300,125.6284100,200,,Hernani Town Ville
Yolanda,Samar,Quinapondan Town Ville,"Brgy. Buenavista, Quinapondan, Eastern Samar",11.1823480,125.5480390,190,,Quinapondan Town Ville
Yolanda,Samar,Gen. MacArthur Townville,"Brgy. Vigan, Gen. McArthur, Eastern Samar",11.2675640,125.5353130,190,,Gen. MacArthur Townville
Yolanda,Samar,Mont Peak Estate,"Brgy. San Isidro, Lawaan, Eastern Samar",11.1617740,125.3124710,230,,Mont Peak Estate (Lawaan Housing Project)
Yolanda,Samar,Salcedo Housing Project,"Brgy. Palanas, Salcedo, Eastern Samar",11.1375800,125.6341380,180,,Salcedo Housing Project
Yolanda,Samar,Rondale Residences,"Brgy. San Roque, Llorente, Eastern Samar",11.3922840,125.5835690,100,,Rondale Residences (Llorente Housing Project)
Yolanda,Samar,Giporlos Greenfields,"Brgy. 01-Poblacion, Giporlos, Eastern Samar",11.1132780,125.4446510,190,,Giporlos Greenfields
Yolanda,Samar,San Lorenzo Residences,"Brgy. Buyayawon, Mercedes, Eastern Samar",11.1025500,125.7056780,110,,San Lorenzo Residences
Yolanda,Samar,Basey Point and Basey Point 2A,"Brgy. Tingib, Basey, Samar",11.2802030,125.0297980,260,,Basey Point and Basey Point 2A
Yolanda,Samar,Basey Point 1 and 5,"Brgy, Tingib Site 1, Basey Samar",11.2820860,125.0232760,450,,Basey Point 1 and 5
Yolanda,Samar,Green Park 1 ,"Brgy. Sawa Ph. 1, Basey, Samar",11.2956790,125.0720690,210,,Green Park 1 
Yolanda,Samar,Green Park 2 ,"Brgy. Roxas, Basey, Samar",11.3079530,125.0474290,240,,Green Park 2 
Yolanda,Samar,Marabut Ville Site 1 ,"Brgy. Tag-alag, Marabut, Samar",11.2457820,125.1850580,240,,Marabut Ville Site 1 
Yolanda,Samar,Sta. Rita Greenfields,"Brgy. Old Manungca, Sta. Rita, Samar",11.4405410,125.0173050,140,,Sta. Rita Greenfields
Yolanda,Biliran,Vista del Mar 3,"Brgy. Cabibihan, Caibiran, Biliran",11.5787530,124.5505890,170,Identified,Vista del Mar 3
Yolanda,Biliran,Junction Ville,"Brgy. Cabibihan, Caibiran, Biliran",11.5844330,124.5499200,220,Identified,Junction Ville (Caibiran Housing Project/Jade Crown Meadows)
Yolanda,Biliran,Cool Mont Crest,"Brgy. Villacaneja Site 1, Naval, Biliran",11.5588510,124.4544690,220,,Cool Mont Crest
Yolanda,Biliran,Divine Grace Village,"Brgy. Burabod, Biliran, Biliran",11.4911200,124.4741680,180,Identified,Divine Grace Village
Yolanda,Biliran,San Antonio Village,"Brgy. Villa Enage, Biliran, Biliran",11.4709270,124.4839700,280,Identified,San Antonio Village
Yolanda,Biliran,Biliran Lucky Residences ,"Brgy. Busali, Biliran, Biliran",11.4888320,124.4525590,130,Probable,Biliran Lucky Residences (Villa de Pierre)
Yolanda,Biliran,Vermatthew Heights,"Brgy. Bato Site 1, Biliran, Biliran",11.5076330,124.4338810,200,Identified,Vermatthew Heights
Yolanda,Biliran,Villa El Blanco,"Brgy. Jamorawon, Almeria, Biliran",11.6071300,124.3856160,200,Identified,Villa El Blanco (Almeria Housing Proj. 1)
Yolanda,Biliran,Villa Abrea,"Brgy. Jamorawon Site 2, Almeria, Biliran",11.6085610,124.3949610,150,Identified,Villa Abrea (Almeria Hsg. Proj. 2)
Yolanda,Biliran,San Lorenzo Heights,"Brgy. Guinapondan Site 1, Culaba, Biliran",11.6376290,124.5538310,160,Identified,San Lorenzo Heights
Yolanda,Biliran,Mont Peak East,"Brgy. Baso, Cabucgayan, Biliran",11.4944250,124.5972650,130,Probable,Mont Peak East
Yolanda,Biliran,Mont Peak East 2,"Brgy. Pawikan, Cabucgayan, Biliran",11.4956490,124.5994600,130,Identified,Mont Peak East 2 (Cabucgayan Housing Project)
Yolanda,Antique,Capoyuan Homes 2,"Brgy Capoyuan Site 2, Barbaza, Antique",11.2392130,122.0749160,150,,Capoyuan Homes 2
Yolanda,Antique,Barbaza Residences 1,"Brgy Poblacion, Barbaza, Antique",11.1967386,122.0421739,140,,Barbaza Residences 1 (Barbaza site 1A)
Yolanda,Antique,Barbaza Residences 2,"Brgy Magtulis, Barbaza",11.1992550,122.0541800,140,,Barbaza Residences 2 (Barbaza site 2A)
Yolanda,Antique,Atabay Homes (Barbaza),"Brgy Esparar, Barbaza",11.2061310,122.0605290,160,,Atabay Homes (Barbaza)
Yolanda,Antique,Bugasong Resettlement Project,"Brgy Centro Ilauod, Bugasong",11.0354780,122.0603690,80,,Bugasong Resettlement Project (LGU Land)
Yolanda,Antique,Bugasong New Paradise Village 1,"Brgy Lacayon Site 1, Bugasong",11.0515050,122.0824710,350,,Bugasong New Paradise Village 1
Yolanda,Antique,Igbalangao Homes 1,"Brgy Igbalangao, Bugasong",11.0096200,122.0612860,270,,Bugasong Paradise Ville 1 (Igbalangao Homes 1)
Yolanda,Antique,Esperanza Homes 1,"Brgy Ezperanza Site 1, Culasi",11.4656310,122.0618330,410,,Esperanza Homes 1
Yolanda,Antique,Laua-an Resettlement Project,"Brgy Jaguiquican, Laua-an",11.0807219,122.0845573,115,,Laua-an Resettlement Project (LGU)
Yolanda,Antique,Villa Guinbanga-an Nuevo,Brgy Guinbanga-an Nuevo Laua-an,11.0868350,122.0806430,120,,Villa Guinbanga-an Nuevo
Yolanda,Antique,Villa Igtadiao Nuevo 1,"Brgy Igtadiao Site 1, Laua-an",11.1234770,122.0574050,70,,Villa Igtadiao Nuevo 1
Yolanda,Antique,Villa Igtadiao Nuevo 2 ,"Brgy Igtadiao Site 2, Laua-an",11.1217240,122.0547140,90,,Villa Igtadiao Nuevo 2 
Yolanda,Antique,Villa Lugta Nuevo,"Brgy Lugta, Laua-n",11.0828650,122.0514450,190,,Villa Lugta Nuevo
Yolanda,Antique,Villa Lindero NUevo,"Brgy Lindero, Laua-an",11.1131940,122.0519130,100,,Villa Lindero NUevo
Yolanda,Antique,Villa Lupa-an Nuevo 1,Brgu Lupa-an Site 1,11.1376710,122.0714610,120,,Villa Lupa-an Nuevo 1
